T,TM,Tm,H,VV,V,VM,PM2.5,nan
23.8,32.6,16.5,29.0,6.9,2.4,5.4,103.82608695652172,nan
23.6,32.1,15.5,35.0,6.9,2.0,5.4,143.91666666666666,nan
24.6,31.8,19.0,54.0,6.9,2.8,5.4,165.0,nan
24.3,31.6,19.2,60.0,6.3,2.4,5.4,116.45833333333331,nan
24.7,31.6,20.2,63.0,6.3,2.2,5.4,143.0,nan
23.4,30.1,19.2,65.0,6.3,4.3,7.6,231.125,nan
23.0,30.1,19.1,65.0,6.3,3.5,3.5,276.2105263157895,nan
23.9,30.3,19.2,63.0,6.9,2.2,3.5,211.0,nan
23.4,30.8,19.7,64.0,6.3,4.4,5.4,139.22222222222223,nan
24.2,32.0,19.3,49.0,6.9,4.4,5.4,204.54545454545453,nan
24.5,32.0,17.6,50.0,6.9,3.1,5.4,130.16666666666666,nan
23.8,31.1,19.9,71.0,6.9,5.0,7.6,123.125,nan
24.9,32.0,19.3,64.0,6.9,3.9,5.4,120.91666666666669,nan
23.8,32.0,20.2,67.0,6.9,5.2,7.6,153.625,nan
23.9,30.6,19.9,67.0,6.9,4.6,5.4,130.33333333333334,nan
24.6,31.6,18.6,61.0,6.9,4.1,7.6,110.70833333333331,nan
24.2,31.6,18.2,54.0,6.8,5.4,7.6,138.5,nan
24.9,31.8,16.6,35.0,6.9,3.5,5.4,75.75,nan
25.3,32.8,19.0,31.0,6.9,4.1,7.6,146.54166666666666,nan
25.6,33.1,17.1,31.0,6.9,3.1,5.4,174.9375,nan
27.1,35.4,18.7,31.0,6.9,3.5,5.4,80.04166666666667,nan
28.2,35.9,20.8,33.0,7.7,0.9,3.5,100.04166666666669,nan
27.9,35.9,22.4,42.0,6.9,1.1,5.4,109.45833333333331,nan
27.6,35.3,20.5,37.0,6.9,2.4,5.4,110.16666666666669,nan
27.3,35.3,20.3,38.0,6.9,2.6,7.6,108.20833333333331,nan
26.8,34.6,19.4,33.0,6.9,2.2,5.4,103.83333333333331,nan
28.6,36.0,23.5,33.0,6.9,1.3,3.5,74.29166666666667,nan
28.3,35.8,21.9,49.0,6.9,2.8,3.5,101.79166666666669,nan
29.2,35.8,23.4,43.0,6.9,3.3,7.6,106.16666666666669,nan
28.9,36.0,23.3,40.0,6.9,3.3,5.4,89.875,nan
28.6,36.2,22.3,38.0,6.9,2.4,5.4,48.208333333333336,nan
28.5,36.4,22.6,47.0,6.9,4.3,7.6,47.04166666666666,nan
25.7,36.4,20.4,59.0,6.6,3.9,5.4,67.79166666666667,nan
27.1,34.5,22.3,59.0,6.9,3.0,3.5,56.66666666666666,nan
27.7,34.5,23.1,56.0,6.9,2.8,7.6,79.0,nan
27.6,34.0,22.7,56.0,6.9,3.0,5.4,123.58333333333331,nan
28.6,35.4,22.2,47.0,6.9,2.4,5.4,80.29166666666667,nan
28.7,35.5,23.4,36.0,6.9,1.9,3.5,137.875,nan
28.7,35.5,21.5,34.0,7.7,1.5,5.4,87.875,nan
29.8,36.5,23.8,53.0,7.7,3.3,5.4,121.20833333333331,nan
29.6,36.5,24.7,52.0,6.9,1.9,3.5,97.04166666666669,nan
29.3,36.3,24.8,49.0,6.9,2.8,3.5,96.08695652173913,nan
28.8,36.0,24.2,50.0,6.9,3.9,5.4,130.625,nan
28.6,35.8,24.6,50.0,6.3,3.9,7.6,90.5,nan
27.8,35.8,20.0,56.0,6.9,3.1,7.6,55.41666666666666,nan
24.5,30.6,21.4,76.0,7.7,5.2,7.6,108.33333333333331,nan
22.8,26.7,21.0,86.0,6.3,5.2,5.4,198.875,nan
24.1,28.3,20.5,78.0,6.9,4.6,7.6,120.70833333333331,nan
27.4,35.6,23.8,60.0,6.9,3.9,7.6,60.54166666666666,nan
28.8,35.6,22.8,47.0,6.9,4.1,7.6,79.0,nan
28.6,35.5,22.8,49.0,6.9,3.9,5.4,133.70833333333334,nan
28.4,35.5,23.6,56.0,7.7,3.7,14.8,53.25,nan
25.8,33.9,21.4,71.0,6.9,1.5,5.4,65.16666666666667,nan
26.3,33.0,21.2,65.0,7.4,4.3,7.6,83.58333333333333,nan
26.4,35.2,18.9,62.0,9.2,4.4,5.4,40.66666666666666,nan
27.8,34.4,22.2,61.0,7.7,2.4,5.4,48.125,nan
25.8,34.5,20.2,70.0,6.9,3.9,5.4,103.16666666666669,nan
28.1,35.0,22.3,57.0,7.4,3.3,5.4,143.375,nan
27.6,35.0,20.1,60.0,6.9,3.9,5.4,44.79166666666666,nan
25.9,34.5,20.4,70.0,6.9,4.6,7.6,75.08695652173913,nan
24.5,29.2,20.0,75.0,6.9,2.8,3.5,60.0,nan
25.9,31.2,22.2,72.0,7.7,6.1,11.1,101.0,nan
25.9,31.3,20.9,73.0,6.9,7.4,9.4,76.20833333333333,nan
24.6,31.3,22.2,74.0,6.9,9.4,22.2,88.0,nan
24.1,30.7,21.9,74.0,5.8,8.1,14.8,48.833333333333336,nan
25.4,30.2,21.4,67.0,9.2,8.9,9.4,85.94444444444444,nan
25.2,31.0,21.6,71.0,7.7,9.3,14.8,113.70588235294116,nan
24.4,29.4,20.8,72.0,6.9,9.8,11.1,74.76190476190476,nan
24.7,29.2,21.2,71.0,7.4,9.1,11.1,62.47619047619048,nan
25.3,30.4,21.2,69.0,6.6,8.7,11.1,78.54166666666667,nan
26.0,32.0,21.4,61.0,6.9,5.7,7.6,49.125,nan
26.6,33.0,21.4,60.0,6.9,4.3,5.4,83.21052631578948,nan
27.4,33.6,22.2,58.0,7.7,2.4,3.5,79.0,nan
24.9,31.3,21.1,75.0,6.9,5.9,9.4,233.26315789473685,nan
25.4,30.6,21.8,69.0,6.9,5.2,7.6,143.1578947368421,nan
25.5,30.8,20.8,64.0,6.9,6.9,14.8,233.9333333333333,nan
23.1,27.5,20.8,81.0,6.9,6.3,11.1,117.17391304347828,nan
22.6,27.5,20.3,82.0,6.9,5.2,9.4,66.13636363636364,nan
22.7,28.6,19.9,83.0,6.9,5.6,7.6,71.0,nan
23.6,27.1,20.3,76.0,6.6,8.7,14.8,269.9166666666667,nan
23.0,26.6,21.0,80.0,5.8,9.6,14.8,162.25,nan
24.0,28.5,20.6,74.0,9.2,7.6,16.5,249.68421052631575,nan
23.3,28.4,20.0,77.0,6.3,6.7,11.1,226.41176470588235,nan
23.9,28.9,21.0,74.0,6.3,11.1,14.8,159.0,nan
23.2,28.0,21.4,81.0,6.6,7.4,14.8,198.2,nan
24.1,29.4,20.4,78.0,6.9,6.3,7.6,47.375,nan
23.4,28.4,21.0,79.0,6.6,5.7,9.4,38.16666666666666,nan
23.7,27.7,21.0,75.0,6.9,9.4,13.0,42.54166666666666,nan
22.9,28.4,20.5,85.0,5.5,7.6,11.1,27.363636363636363,nan
23.1,27.4,20.4,81.0,5.5,7.8,11.1,45.833333333333336,nan
23.2,28.2,21.0,81.0,5.5,7.4,14.8,33.708333333333336,nan
23.6,27.8,20.8,73.0,8.2,7.2,11.1,26.416666666666668,nan
22.8,28.4,20.7,83.0,6.3,6.9,11.1,30.666666666666668,nan
23.6,29.2,20.2,79.0,6.9,6.9,9.4,29.95833333333333,nan
22.8,28.0,20.4,84.0,6.9,5.2,9.4,23.875,nan
23.1,29.3,20.0,81.0,5.8,5.0,7.6,22.33333333333333,nan
24.1,29.5,20.0,74.0,9.2,4.4,5.4,25.08333333333333,nan
24.1,28.8,20.2,83.0,6.9,2.2,7.6,66.79166666666667,nan
